channel_name	ids	id_c	max_scanned_at	criteria_by_avg
EyseeGaming	111293863934485	1	2020-10-24 00:00:00	10000
webmoviefun	102874041396641	1	2020-09-27 00:00:00	10000
GabxivGaming	101479851538778	1	2021-08-22 00:00:00	10000
DakshPlays001	106912718328059	1	2021-08-27 00:00:00	10000
ennzorzgaming	101391924924381	1	2021-02-09 00:00:00	10000
bobimpubgmv	2386924678025279	1	2020-11-22 00:00:00	10000
TonTonStream	104591430920304	1	2021-06-03 00:00:00	10000
ZGamingFlicks	720513588153791	1	2020-10-12 00:00:00	10000
Kenny10N	104468971768266	1	2021-06-04 00:00:00	10000
AuraSusanaTV	104864987932351	1	2021-08-14 00:00:00	10000
bobimlab	2386924678025279	1	2021-01-30 00:00:00	10000
Anuu82	100067221561617	1	2021-08-27 00:00:00	10000
Zakra-101430688849407	101430688849407	1	2021-07-12 00:00:00	10000
AungTunThein1718	113499140379642	1	2021-07-31 00:00:00	10000
ABUJABALGAMING	107352817422269	1	2021-08-30 00:00:00	10000
